Box Office Average per US Cinema (Opening Weekend),Number of Theatres in US Opening Weekend,Opening Weekend,Profitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget,Film ,Lead Studio,Rotten Tomatoes %,Audience  score %,Story,Genre,Oscar,Bafta
6167,3154,19.45,240.83%,144.50,55.10,89.40,60,I Am Number Four,Paramount,32,57,Maturation,Thriller,,
6111,106,0.60,32.00%,4.80,4.40,0.40,15,The Company Men,Weinstein Company,66,55,Discovery,Drama,,
6060,2940,17.80,99.57%,69.70,48.50,21.20,70,The Dilemma,Spyglass Entertainment,23,31,Comedy,Comedy,,
5979,2817,16.84,308.14%,117.09,58.71,58.39,38,Water For Elephants,20th Century Fox,60,72,Love,Drama,,
5921,2534,15.00,253.08%,40.49,37.30,3.19,16,The Roommate,Independant,4,29,Monster Force,Horror,,
5889,3606,21.24,78.89%,106.51,57.31,49.20,135,Happy Feet 2,Village Roadshow Pictures,41,59,Journey and Return,Animation,,
5873,1910,11.22,100.16%,35.06,35.06,??,35,J.Edgar,Warner Bros,42,84,Wretched Excess,Drama,,
5763,3482,20.07,212.88%,170.30,80.36,89.94,80,Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,,
5715,3155,18.03,394.72%,157.89,42.59,115.30,40,Final Destination 5,New Line Cinema,61,56,Monster Force,Horror,,
5656,3305,18.69,242.84%,97.14,38.18,58.96,40,Scream 4,Weinstein Company,58,57,Monster Force,Horror,,
5524,3339,18.45,340.65%,187.36,68.22,119.14,55,Mr. Popper's Penguins,20th Century Fox,47,54,Discovery,Comedy,,
5511,2408,13.27,6467.27%,97.01,54.01,43.00,1.5,Insidious,Sony,67,65,Monster Force,Horror,,
5461,3507,19.15,237.69%,87.95,71.08,16.86,37,Dolphin Tale,Independant,84,81,Quest,Drama,,
5427,1826,9.91,227.15%,45.43,31.18,14.25,20,The Debt,Universal,76,70,Pursuit,Thriller,,
5047,1952,9.85,169.61%,28.83,27.87,0.97,17,Beastly,CBS Films,19,50,Metamorphosis,Romance,,
5002,2961,14.81,385.24%,123.28,54.71,68.57,32,Source Code,Summit Entertainment,92,81,The Riddle,Thriller,,
4960,707,3.51,56.84%,14.21,11.54,2.67,25,The Conspirator,Independant,56,65,Underdog,Drama,,
4955,2985,14.80,259.46%,96.00,33.00,63.00,37,The Rite,Warner Bros,20,43,Monster Force,Horror,,
4890,22,0.11,30.33%,6.37,0.97,5.40,21,The Beaver,Summit Entertainment,62,57,Transformation,Drama,,
4880,2535,12.37,212.60%,63.78,40.26,23.52,30,Hanna,Universal,71,67,Quest,Action,,
4879,2707,13.21,187.52%,75.01,58.01,17.00,40,The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,,
4802,2904,13.95,171.95%,60.18,39.05,21.14,35,Something Borrowed,Independant,?,?,Love,Romance,,
4789,2214,10.60,245.93%,44.27,43.85,0.41,18,Soul Surfer,Sony,46,79,Underdog,Drama,,
4761,2199,15.56,258.55%,62.05,51.16,10.90,24,Footloose,Spyglass Entertainment,71,71,Transformation,Drama,,
4761,2199,10.47,433.55%,54.19,40.49,13.70,12.5,The Ides of March,Columbia,85,76,Transformation,Thriller,,
4655,2802,13.04,244.96%,97.98,37.41,60.57,40,Paul,Relativity,72,70,Comedy,Comedy,,
4645,2913,13.53,136.22%,70.83,37.08,33.75,52,The Change Up,Relativity Media,24,53,Metamorphosis,Comedy,,
4622,3030,14.01,212.29%,89.16,37.66,51.50,42,Red Riding Hood,Warner Bros,11,41,Monster Force,Horror,,
4616,2888,13.33,144.81%,40.55,37.05,3.49,28,30 Minutes or Less,Independant,43,48,Comedy,Comedy,,
4588,2950,13.54,231.00%,83.16,45.06,38.10,36,Hall Pass,Warner Bros,35,44,Temptation,Comedy,,
4506,2875,12.95,179.18%,34.04,34.04,??,19,A Very Harold and Kumar Christmas,Lionsgate,72,71,Comedy,Comedy,,
4405,2973,13.10,174.69%,52.41,35.61,16.80,30,Larry Crowne,Universal,34,46,Discovery,Drama,,
4226,2703,11.40,128.00%,51.20,29.20,22.00,40,The Mechanic,Independant,53,52,Revenge,Action,,
41038,29,4.38,122.71%,24.54,24.54,?,20,The Descendants,20th Century Fox,89,88,Discovery,Drama,,
3982,2614,10.41,152.41%,60.97,36.67,24.30,40,Colombiana,Sony,28,55,Revenge,Action,,
3929,2886,11.34,446.71%,67.01,34.68,32.33,15,Drive,Independant,93,79,Rivalry,Thriller,,
38672,4375,169.19,1062.49%,"1,328.11",381.01,947.10,125,Harry Potter and the Deathly Hallows Part 2,Warner Bros,96,92,Rivalry,Fantasy,,
3860,3122,12.05,318.48%,127.39,36.49,90.90,40,In Time,Regency Enterprises,38,55,The Riddle,Thriller,,
3856,265,1.02,47.30%,14.19,4.46,9.73,30,Anonymous,Relativity Media,46,66,Tragedy,Drama,,
3782,2296,8.68,108.48%,27.12,19.49,7.63,25,The Eagle,Universal,39,43,Quest,Action,,
3769,2816,12.00,229.00%,91.60,24.80,66.80,40,Season Of The Witch,Relativity,10,32,Monster Force,Action,,
3731,3276,12.22,114.34%,45.74,33.04,12.70,40,Arthur,Warner Bros,26,49,Sacrifice,Comedy,,
3537,3376,12.07,60.80%,91.20,33.70,57.50,150,Arthur Christmas,Aardman Animations,92,82,Journey and Return,Animation,,
3534,3295,11.64,274.37%,74.08,38.54,35.54,27,Spy Kids: All The Time in the World,Weinstein Company,22,40,Quest,Action,,
3517,2458,8.64,456.39%,36.51,34.90,1.62,8,50/50,Independant,93,93,Discovery,Comedy,,
3504,3118,10.93,234.48%,82.07,28.07,54.00,35,Abduction,Vertigo Entertainment,4,46,Maturation,Action,,
34012,4061,138.12,577.09%,634.80,260.80,374.00,110,Twilight: Breaking Dawn,Independant,26,68,Love,Romance,,
3390,2787,9.40,362.00%,108.60,23.20,85.40,30,Sanctum,Relativity Media,30,39,Quest,Action,,
3380,2769,9.36,49.81%,24.86,21.60,3.26,49.9,Your Highness,Universal,26,36,Comedy,Comedy,,
3324,3015,10.02,54.22%,48.80,21.30,27.50,90,Conan the Barbarian,Lionsgate,22,34,Quest,Action,,
3267,2405,7.86,110.51%,33.15,26.69,6.46,30,Winnie The Pooh,Disney,91,79,Quest,Animation,,
3132,2986,9.35,75.66%,52.96,25.12,27.84,70,Killer Elite,Independant,25,48,Rivalry,Action,,
3089,2760,8.53,126.18%,31.55,24.05,7.50,25,Don't Be Afraid Of The Dark,Miramax Films,59,37,Monster Force,Horror,,
3055,2661,8.13,77.00%,38.50,21.30,17.20,50,Dream House,Morgan Creek Productions,7,38,The Riddle,Horror,,
3014,2473,7.45,198.32%,39.66,23.18,16.48,20,Monte Carlo,20th Century Fox,38,50,Love,Romance,,
2995,2806,8.40,154.81%,38.70,18.88,19.83,25,Shark Night 3D,Relativity,16,25,Escape,Horror,,
2972,3,0.01,0.50%,0.03,0.03,?,5,Waiting For Forever,Independant,6,53,Love,Romance,,
2955,1719,5.08,368.27%,55.24,13.84,41.40,15,One Day,Independant,37,54,Love,Romance,,
2875,3017,8.67,176.20%,132.15,20.25,111.90,75,The Three Musketeers,Independant,24,48,Rivalry,Action,,
2835,2996,8.49,72.18%,27.43,16.93,10.50,38,The Thing,Universal,36,52,Monster Force,Horror,,
2805,1869,5.24,92.23%,23.06,13.66,9.40,25,Warrior,Lionsgate,83,93,Rivalry,Action,,
2744,2555,,496.32%,24.82,24.82,??,5,Our Idiot Brother,The Weinstein Company,68,79,Comedy,Comedy,,
2615,3328,8.70,511.24%,25.56,17.69,7.88,5,Apollo 18,Weinstein Company,23,31,Monster Force,Horror,,
2477,3114,7.71,123.67%,37.10,18.30,18.80,30,Fright Night,DreamWorks,75,68,Rivalry,Horror,,
2470,1552,3.83,350.98%,157.94,8.31,149.63,45,Johnny English Reborn,Relativity Media,38,55,Comedy,Comedy,,
23937,4088,97.85,576.00%,"1,123.20",352.39,770.81,195,Transformers: Dark of the Moon,DreamWorks Pictures,35,67,Quest,Action,,
23775,3615,85.95,726.83%,581.46,254.46,327.00,80,The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,,
23655,3644,,5.01,626.13,209.83,416.3,125,Fast Five,Universal,78,83,Escape,Action,,
2265,2990,5.19,64.29%,28.93,10.72,18.21,45,Drive Angry,Independant,45,38,Rescue,Action,,
2259,2273,5.14,47.89%,21.55,13.07,8.48,45,The Rum Diary,Independant,50,48,Discovery,Drama,,
2221,2864,14.95,130.51%,78.31,29.14,49.17,60,Priest,Sony,17,37,Monster Force,Action,,
2218,3117,6.91,25.99%,38.99,21.39,17.60,150,Mars Needs Moms,Disney,36,43,Rescue,Animation,,
21697,4155,90.15,417.55%,"1,043.87",241.07,802.80,250,"Pirates of the Caribbean:
On Stranger Tides",Disney,34,61,Quest,Action,,
1806,3002,5.42,152.13%,30.43,14.01,16.42,20,What's Your Number,20th Century Fox,24,50,Transformation,Comedy,,
17512,3715,65.06,263.15%,368.40,176.65,191.75,140,Captain America: The First Avenger,Disney,78,75,Metamorphosis,Action,,
1730,2003,3.46,27.71%,6.93,6.93,?,25,Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,,
16618,3955,65.72,299.01%,448.51,181.03,267.48,150,Thor,Disney,77,80,Monster Force,Action,,
16072,4115,66.14,275.93%,551.85,191.45,360.40,200,Cars 2,Pixar,38,56,Fish Out Of Water,Animation,,
15829,3321,52.57,4037.94%,201.90,103.66,98.24,5,Paranormal Activity 3,Independant,68,58,Monster Force,Horror,,
15134,3641,55.10,221.01%,353.62,146.41,207.22,160,X-Men: First Class,Disney,87,88,Monster Force,Action,,
1513,2150,3.25,18.07%,7.41,7.17,0.24,41,The Big Year,Independant,38,62,Transformation,Comedy,,
15024,3648,54.81,517.45%,481.23,176.70,304.52,93,Rise of the Planet of the Apes,20th Century Fox,83,87,Revenge,Action,,
13935,3816,53.17,109.93%,219.85,116.60,103.25,200,Green Lantern,Warner Bros,27,48,Metamorphosis,Action,,
12142,3925,47.66,442.02%,663.02,165.25,497.78,150,Kung Fu Panda 2,DreamWorks Animation,82,80,Rivalry,Animation,,
10492,3379,35.45,519.43%,259.71,127.00,132.71,50,Super 8,Paramount,82,78,Monster Force,Horror,,
10490,3579,37.54,291.99%,183.95,108.09,75.87,63,Hop,Relativity Media,26,50,Fish Out Of Water,Animation,,
10489,3395,35.61,511.05%,562.16,142.61,419.54,110,The Smurfs,Sony Pictures Animation,23,50,Fish Out Of Water,Animation,,
10411,3417,35.57,302.60%,211.82,83.55,128.27,70,Battle: Los Angeles,Relativity Media,35,50,Monster Force,Action,,
10365,3049,31.60,1080.98%,216.20,100.29,115.90,20,Bad Teacher,Independant,44,38,Comedy,Comedy,,
10349,3112,32.21,243.31%,182.49,80.49,102.00,75,Immortals,Relativity Media,36,59,Revenge,Action,,
10278,2534,26.04,797.30%,199.32,169.22,30.10,25,The Help,DreamWorks Pictures,75,91,Maturation,Drama,,
10252,3826,39.23,538.48%,484.63,143.62,341.02,90,Rio,20th Century Fox,71,73,Quest,Animation,,
($),,($m),% of budget recovered,($m),($m),($m),($m),,,,,,,,
,,?,27.60%,1.10,1.10,?,4,Red State,Independant,57,59,Escape,Horror,,
,,8.60,1387.57%,41.63,,,3,Never Back Down 2: The Beatdown,Sony,?,?,Rivalry,Action,,
,,0.79,54.22%,2.71,2.71,,5,Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,,
,,0.75,23.17%,4.63,1.19,3.45,20,Dylan Dog: Dead of Night,Independant,6,28,Monster Force,Horror,,
,,0.56,253.40%,8.87,4.94,3.93,3.5,Margin Call,Independant,86,73,Sacrifice,Thriller,,
,,0.30,68.61%,6.86,6.86,,10,Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,,
,,0.18,,30.15,11.24,18.91,??,Jane Eyre,Universal,85,77,Love,Romance,,
,,0.17,44.86%,8.97,0.54,8.44,20,A Dangerous Method,Independant,79,89,Love,Drama,,
,,0.14,443.19%,14.18,5.79,8.39,3.2,Beginners,Independant,84,80,Love,Comedy,,
,,0.13,5.46%,0.38,0.38,??,7,Hesher,Independant,54,68,Wretched Excess,Drama,,
,,0.08,660.50%,1.32,1.32,,0.2,Another Earth,Independant,63,74,Temptation,Fantasy,,
,,0.05,31.46%,1.57,1.57,?,5,Take Shelter,Independant,92,85,Sacrifice,Drama,,
,,0.05,3.68%,1.10,0.54,0.57,30,Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,
,,0.02,8.93%,3.12,0.02,3.10,35,Trespass,Independant,11,24,Escape,Thriller,,
,,0.02,0.20%,0.03,0.03,?,15,The Son Of No One,Independant,18,61,Discovery,Thriller,,
,,0.00,10.67%,1.07,0.02,1.05,10,Vanishing on 7th Street,Independant,52,62,Monster Force,Horror,,
