Year,Box Office Average per US Cinema (Opening Weekend),Number of Theatres in US Opening Weekend,Opening Weekend,Profitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget,Film ,Lead Studio,Rotten Tomatoes %,Audience  score %,Story,Genre,Oscar,Bafta
2011,2259,2273,5.14,47.89%,21.55,13.07,8.48,45,The Rum Diary,Independant,50,48,Discovery,Drama,,
2011,2221,2864,14.95,130.51%,78.31,29.14,49.17,60,Priest,Sony,17,37,Monster Force,Action,,
2011,2218,3117,6.91,25.99%,38.99,21.39,17.60,150,Mars Needs Moms,Disney,36,43,Rescue,Animation,,
2011,21697,4155,90.15,417.55%,"1,043.87",241.07,802.80,250,"Pirates of the Caribbean:
On Stranger Tides",Disney,34,61,Quest,Action,,
2011,1806,3002,5.42,152.13%,30.43,14.01,16.42,20,What's Your Number,20th Century Fox,24,50,Transformation,Comedy,,
2011,17512,3715,65.06,263.15%,368.40,176.65,191.75,140,Captain America: The First Avenger,Disney,78,75,Metamorphosis,Action,,
2011,1730,2003,3.46,27.71%,6.93,6.93,?,25,Take Me Home Tonight,Relativity,28,46,Discovery,Comedy,,
2011,16618,3955,65.72,299.01%,448.51,181.03,267.48,150,Thor,Disney,77,80,Monster Force,Action,,
2011,16072,4115,66.14,275.93%,551.85,191.45,360.40,200,Cars 2,Pixar,38,56,Fish Out Of Water,Animation,,
2011,15829,3321,52.57,4037.94%,201.90,103.66,98.24,5,Paranormal Activity 3,Independant,68,58,Monster Force,Horror,,
2011,15134,3641,55.10,221.01%,353.62,146.41,207.22,160,X-Men: First Class,Disney,87,88,Monster Force,Action,,
2011,1513,2150,3.25,18.07%,7.41,7.17,0.24,41,The Big Year,Independant,38,62,Transformation,Comedy,,
2011,15024,3648,54.81,517.45%,481.23,176.70,304.52,93,Rise of the Planet of the Apes,20th Century Fox,83,87,Revenge,Action,,
2011,13935,3816,53.17,109.93%,219.85,116.60,103.25,200,Green Lantern,Warner Bros,27,48,Metamorphosis,Action,,
2011,12142,3925,47.66,442.02%,663.02,165.25,497.78,150,Kung Fu Panda 2,DreamWorks Animation,82,80,Rivalry,Animation,,
2011,10492,3379,35.45,519.43%,259.71,127.00,132.71,50,Super 8,Paramount,82,78,Monster Force,Horror,,
2011,10490,3579,37.54,291.99%,183.95,108.09,75.87,63,Hop,Relativity Media,26,50,Fish Out Of Water,Animation,,
2011,10489,3395,35.61,511.05%,562.16,142.61,419.54,110,The Smurfs,Sony Pictures Animation,23,50,Fish Out Of Water,Animation,,
2011,10411,3417,35.57,302.60%,211.82,83.55,128.27,70,Battle: Los Angeles,Relativity Media,35,50,Monster Force,Action,,
2011,10365,3049,31.60,1080.98%,216.20,100.29,115.90,20,Bad Teacher,Independant,44,38,Comedy,Comedy,,
2011,10349,3112,32.21,243.31%,182.49,80.49,102.00,75,Immortals,Relativity Media,36,59,Revenge,Action,,
2011,10278,2534,26.04,797.30%,199.32,169.22,30.10,25,The Help,DreamWorks Pictures,75,91,Maturation,Drama,,
2011,10252,3826,39.23,538.48%,484.63,143.62,341.02,90,Rio,20th Century Fox,71,73,Quest,Animation,,
2011,($),,($m),% of budget recovered,($m),($m),($m),($m),,,,,,,,
2011,,,?,27.60%,1.10,1.10,?,4,Red State,Independant,57,59,Escape,Horror,,
2011,,,8.60,1387.57%,41.63,,,3,Never Back Down 2: The Beatdown,Sony,?,?,Rivalry,Action,,
2011,,,0.79,54.22%,2.71,2.71,,5,Everything Must Go,Reliance Entertainment,74,53,Discovery,Drama,,
2011,,,0.75,23.17%,4.63,1.19,3.45,20,Dylan Dog: Dead of Night,Independant,6,28,Monster Force,Horror,,
2011,,,0.56,253.40%,8.87,4.94,3.93,3.5,Margin Call,Independant,86,73,Sacrifice,Thriller,,
2011,,,0.30,68.61%,6.86,6.86,,10,Cedar Rapids,20th Century Fox,86,61,Maturation,Comedy,,
2011,,,0.18,,30.15,11.24,18.91,??,Jane Eyre,Universal,85,77,Love,Romance,,
2011,,,0.17,44.86%,8.97,0.54,8.44,20,A Dangerous Method,Independant,79,89,Love,Drama,,
2011,,,0.14,443.19%,14.18,5.79,8.39,3.2,Beginners,Independant,84,80,Love,Comedy,,
2011,,,0.13,5.46%,0.38,0.38,??,7,Hesher,Independant,54,68,Wretched Excess,Drama,,
2011,,,0.08,660.50%,1.32,1.32,,0.2,Another Earth,Independant,63,74,Temptation,Fantasy,,
2011,,,0.05,31.46%,1.57,1.57,?,5,Take Shelter,Independant,92,85,Sacrifice,Drama,,
2011,,,0.05,3.68%,1.10,0.54,0.57,30,Machine Gun Preacher,Lionsgate,29,71,Transformation,Action,,
2011,,,0.02,8.93%,3.12,0.02,3.10,35,Trespass,Independant,11,24,Escape,Thriller,,
2011,,,0.02,0.20%,0.03,0.03,?,15,The Son Of No One,Independant,18,61,Discovery,Thriller,,
2011,,,0.00,10.67%,1.07,0.02,1.05,10,Vanishing on 7th Street,Independant,52,62,Monster Force,Horror,,
2010,9970,3612,36,266.82%,293.5,118.31,175.19,110,Salt,Sony,62,62,Revenge,Action,,
2010,9875,3332,32.9,330.46%,115.66,63.08,52.59,35,A Nightmare on Elm Street,Warner Bros.,13,40,Monster Force,Horror,,
2010,9770,3222,31.5,93.19%,139.79,61.98,77.81,150,The Wolfman,Universal,33,38,Monster Force,Drama,,
2010,9743,3944,46.02,247.60%,321.88,144.67,173.46,130,Megamind,Paramount,72,73,Transformation,Animation,,
2010,9743,3355,32.69,401.10%,200.55,99.65,100.9,50,Due Date,Warner Bros.,40,56,Comedy,Comedy,,
2010,9735,3651,35.5,170.27%,170.27,119.22,51.05,100,The Other Guys,Sony,78,57,Comedy,Action,,
2010,9308,3356,31.2,238.42%,226.5,88.77,137.73,95,Percy Jackson & the Olympians: The Lightning Thief,Fox,50,57,Rivalry,Action,,
2010,9298,2206,20.5,213.00%,68.16,57.74,10.42,32,Takers,Sony,27,57,Rivalry,Action,,
2010,9277,2669,24.8,316.85%,126.74,52,74.74,40,Predators,Fox,64,52,Monster Force,Action,,
2010,9115,11,0.103,919.00%,18.38,1.04,17.33,2,Buried,Independent,86,63,Escape,Drama,,
2010,8742,959,8.38,2533.77%,329.39,106.95,222.44,13,Black Swan,Fox,88,86,Wretched Excess,Drama,Best Actress,
2010,8720,3536,30.83,232.70%,232.7,123.69,109.01,100,Little Fockers,Independent,9,40,Comedy,Comedy,,
2010,8322,2856,23.8,390.68%,144.55,92.18,52.37,37,The Town,Warner Bros.,94,83,Rivalry,Crime,,
2010,8320,3203,26.7,493.70%,296.22,60.13,236.09,60,Resident Evil: Afterlife,Highlight Communications,24,53,Monster Force,Action,,
2010,8149,3047,24,660.34%,250.93,171,79,38,True Grit,Paramount,96,86,,,,
2010,8100,2771,22.4,399.20%,199.6,94.08,105.52,50,The Social Network,Sony,96,89,Rags to Riches,Biography,,
2010,8082,2911,23.5,125.23%,86.41,73.03,13.38,69,Dinner for Schmucks,Paramount,43,47,Comedy,Comedy,,
2010,8024,2808,22.53,612.55%,122.51,45.71,76.8,20,Saw 3-D,Independent,10,47,Escape,Crime,,
2010,"8,202","2,619",21,363.48%,152,67,85,55,Average,,49,57,,,,
2010,7497,3082,23.1,340.80%,204.48,80.57,123.91,60,Eat Pray Love,Sony,36,46,Journey and Return,Drama,,
2010,7471,3374,25.2,276.84%,152.26,98.71,53.55,55,Date Night,Fox,66,58,Pursuit,Comedy,,
2010,7262,3535,25.7,177.03%,177.03,77.22,99.81,100,The A-Team,Fox,47,71,Pursuit,Action,,
2010,7191,3077,22.1,504.67%,75.7,64,11.7,15,Diary of a Wimpy Kid,Independent,53,49,Underdog,Comedy,,
2010,7087,2874,20.4,3692.22%,66.46,41.03,25.42,1.8,The Last Exorcism,Independent,73,32,Monster Force,Drama,,
2010,7075,3207,22.69,146.02%,146.02,80.02,66,100,Unstoppable,Fox,86,73,Rescue,Action,,
2010,7069,2476,17.5,261.19%,67.91,40.17,27.74,26,Legion,Independent,19,36,Monster Force,Action,,
2010,6896,1936,13.4,213.59%,36.31,27.2,9.15,17,Brooklyn's Finest,Independent,42,47,Temptation,Action,,
2010,6752,3555,24,268.18%,415.68,104,311,155,The Chronicles of Narnia: The Voyage of the Dawn Treader,Fox,49,63,Quest,Adventure,,
2010,6729,3074,20.7,340.80%,136.32,67.06,69.26,40,The Bounty Hunter,Sony,7,41,Rivalry,Action,,
2010,6686,3255,21.8,283.48%,164.42,89.84,74.58,58,Red,Summit,71,72,Rivalry,Action,,
2010,6595,2459,16.2,233.57%,49.05,42.74,6.31,21,Death at a Funeral,Independent,40,48,Comedy,Comedy,,
2010,6515,2697,17.6,228.48%,91.39,60.97,30.42,40,Get Him to the Greek,Universal,73,63,Comedy,Comedy,,
2010,6501,3098,20.2,223.66%,261.68,76.42,185.26,117,Knight and Day,Fox,53,52,Pursuit,Action,,
2010,6494,2435,15.8,530.50%,159.15,42.4,116.75,30,Step Up 3D,Summit,46,67,Transformation,Drama,,
2010,6489,2476,16.07,272.95%,54.59,39.12,15.47,20,The Crazies,Liberty Starz,72,54,Monster Force,Horror,,
2010,6469,3065,19.8,320.43%,96.13,48.07,48.06,30,Kick-Ass,Independent,76,83,Rivalry,Action,,
2010,6406,700,4.4,1634.67%,245.2,,,15,The King's Speech,Independent,95,93,Maturation,Biography,"Best Picture, Director,  Actor, Orig. Screenplay",
2010,6209,2856,17.7,920.50%,73.64,58.4,15.24,8,Easy A,Sony,85,75,Maturation,Comedy,,
2010,6003,2523,15.1,257.10%,51.42,30.1,21.31,20,Daybreakers,Lionsgate,67,50,Discovery,Action,,
2010,5989,2673,16,445.20%,89.04,62.95,26.09,20,The Last Song,Disney,19,66,Discovery,Drama,,
2010,5977,2756,16,278.34%,278.34,67,210,100,The Tourist,Sony,20,44,,,,
2010,5615,3066,17.2,101.40%,81.12,43.31,37.81,80,Edge of Darkness,Warner Bros.,55,56,Revenge,Crime,,
2010,5539,2859,15.8,124.53%,93.4,47.06,46.34,75,Killers,Lionsgate,11,45,Love,Action,,
2010,5333,3565,19,186.61%,130.63,52.47,78.16,70,Wall Street: Money Never Sleeps,Independent,54,43,Rivalry,Drama,,
2010,5091,2754,14,178.94%,64.42,50.29,14.13,36,Hot Tub Time Machine,MGM,64,57,Journey and Return,Adventure,,
2010,5028,3504,17.6,143.52%,215.28,63.15,152.13,150,The Sorcerer's Apprentice,Disney,42,57,Pursuit,Action,,
2010,4994,2251,11.2,267.53%,40.13,33.860000000000000,6.26,15,All About Steve,Independent,6,35,Comedy,Comedy,,
2010,4848,2503,12,516.76%,129.19,93,35,25,The Fighter,Paramount,91,88,Underdog,Drama,"Sup. Actor, Sup. Actress",
2010,4765,3003,14.3,94.88%,94.88,35.05,59.82,100,Green Zone,Universal,53,60,Quest,Action,,
2010,4669,3515,16.4,251.98%,201.58,100,101,80,Yogi Bear,,14,36,,Comedy,,
2010,4668,2823,13.1,230.00%,46,35.61,10.39,20,The American,Universal,66,37,Rivalry,Crime,,
2010,4605,3150,14.5,253.05%,96.16,53.13,43.03,38,Life as We Know It,Independent,28,62,Love,Comedy,,
2010,4562,2968,13.5,263.93%,79.18,53.03,26.15,30,Letters to Juliet,Summit,40,62,Love,Comedy,,
2010,4555,2718,12.4,104.75%,46.09,31.16,14.93,44,Charlie St. Cloud,Universal,27,62,Discovery,Fantasy,,
2010,45429,4,0.18,141.71%,9.92,7.47,2.45,7,Cyrus,Independent,80,51,Rivalry,Comedy,,
2010,4507,3575,16.1,174.88%,139.9,55.64,84.26,80,Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,51,65,Rivalry,Animation,,
2010,4375,2809,12.3,568.30%,56.83,33.6,23.23,10,Devil,Independent,52,45,Monster Force,Horror,,
2010,4276,2670,11,210.75%,42.15,26.59,15.55,20,Machete,Independent,73,66,Revenge,Action,,
2010,4193,2012,8.4,251.21%,47.73,27.78,19.95,19,The Switch,Independent,52,44,Comedy,Comedy,,
2010,4162,847,3.5,734.25%,29.37,20.81,8.55,4,The Kids Are All Right,Independent,94,72,Comedy,Comedy,,
2010,4092,2470,10.1,332.42%,79.78,25,54.78,24,Piranha 3-D,The Weinstein Company,74,45,Monster Force,Comedy,,
2010,4060,2880,11.69,552.60%,55.26,21.39,33.87,10,Skyline,Independent,16,19,Monster Force,Action,,
2010,3967,2455,9.74,181.77%,54.53,31.68,22.85,30,Love & Other Drugs,Fox,48,55,Love,Comedy,,
2010,3934,3037,11.95,101.96%,56.08,38.24,17.84,55,Burlesque,Paramount,36,66,Rags to Riches,Drama,,
2010,3873,2454,8.52,103.79%,24.91,22.94,1.97,24,Faster,CBS,41,50,Revenge,Action,,
2010,3774,3233,12.2,399.90%,79.98,36.66,43.32,20,Vampires Suck,Independent,4,32,Comedy,Comedy,,
2010,3765,2818,10.6,79.30%,47.58,31.52,16.05,60,Scott Pilgrim vs. the World,Universal,81,83,Underdog,Action,,
2010,3720,3280,12.2,220.29%,77.1,37.49,39.6,35,The Back-up Plan,CBS,20,47,Love,Comedy,,
2010,3678,1873,6.9,109.00%,19.62,15.28,4.34,18,Youth in Revolt,The Weinstein Company,68,52,Love,Comedy,,
2010,3665,2511,9.2,171.63%,32.61,25.9,6.69,19,Leap Year,Universal,21,49,Love,Comedy,,
2010,3657,2212,8,349.06%,55.85,19.07,36.79,16,Remember Me,Summit,28,70,Love,Drama,,
2010,3646,3646,30,167.58%,335.15,90.76,244.39,200,Prince of Persia: The Sands of Time,Disney,36,71,Rivalry,Action,,
2010,3610,3213,11.6,166.72%,83.36,33.64,49.71,50,Marmaduke,Fox,9,46,Rivalry,Comedy,,
2010,3469,2625,9.1,149.55%,29.91,25.12,4.8,20,Alpha and Omega,Crest,17,41,Journey and Return,Animation,,
2010,3445,3445,31,288.35%,288.35,95.35,193,100,Sex and the City 2,Warner Bros.,15,49,Love,Comedy,,
2010,3314,3705,12.3,132.33%,112.48,43.59,68.9,85,Cats & Dogs: The Revenge of Kitty Galore,Independent,13,43,Pursuit,Action,,
2010,3307,2956,9.8,244.05%,48.81,32.01,16.8,20,She's Out of My League,Paramount,57,60,Love,Comedy,,
2010,3300,2548,8.4,159.30%,31.86,25.7,6.16,20,You Again,Independent,18,45,Comedy,Comedy,,
2010,3300,244,0.8,46.80%,4.68,3.57,1.11,10,The Runaways,Independent,68,56,Maturation,Biography,,
2010,3204,2936,9.4,117.52%,29.38,23.59,5.79,25,The Losers,Warner Bros.,47,55,Revenge,Action,,
2010,31143,3728,116.1,512.20%,1024.39,334.19,690.2,200,Alice in Wonderland,Disney,52,72,Journey and Return,Adventure,,
2010,30307,4125,125,764.33%,955.41,295,660,125,Harry Potter and the Deathly Hallows Part 1,Warner Bros.,79,87,Quest,Adventure,,
2010,3020,2784,8.4,266.43%,93.25,29.01,64.23,35,Nanny McPhee Returns,Universal,77,54,Comedy,Comedy,,
2010,2997,2722,8.2,101.54%,52.8,24.08,28.72,52,From Paris with Love,Independent,38,57,Pursuit,Action,,
2010,29252,4380,128.1,311.05%,622.1,312.43,309.62,200,Iron Man 2,Paramount,74,80,Rivalry,Action,,
2010,27385,4028,110.3,531.58%,1063.16,415,648.16,200,Toy Story 3,Disney,99,91,Rescue,Animation,,
2010,2552,2564,6.54,139.17%,41.75,21.15,20.6,30,The Next Three Days,Lionsgate,51,66,Rescue,Crime,,
2010,2477,2546,6.3,211.95%,237.38,42,194,112,Gulliver's Travels,Fox,21,31,Journey and Return,Comedy,,
2010,2430,2521,6.1,57.53%,18.41,13.79,4.62,32,Repo Men,Universal,22,43,Rescue,Action,,
2010,2420,2211,5.4,108.42%,28.19,13.26,14.93,26,Case 39,Independent,23,42,Monster Force,Horror,,
2010,23734,4,0.09,33.73%,5.06,4.36,0.7,15,Solitary Man,Independent,81,47,Wretched Excess,Comedy,,
2010,2359,2549,6,48.81%,15.13,12.07,3.07,31,Extraordinary Measures,CBS,27,55,Underdog,Drama,,
