Box Office Average per Cinema,Number of Theatres in Opening Weekend,Opening Weekend,Market Profitability,Worldwide Gross,Domestic Gross,Foreign Gross,Budget,Film ,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Oscar,Bafta
17577,4011,70.5,472.18%,708.27,319.25,389.03,150.00,Transformers,Paramount,57,89,Monster Force,Action,,
1575,2650,4.8,58.79%,20.58,18.32,2.26,35.00,Walk Hard: The Dewey Cox Story,Sony,75,55,Comedy,Comedy,,
14663,3959,58,222.34%,289.05,131.92,157.13,130.00,Fantastic Four: Rise of the Silver Surfer,Fox,35,55,Monster Force,Action,,
1459,2332,3.4,303.29%,18.20,13.24,4.96,6.00,Daddy Day Camp,Sony,1,63,Comedy,Comedy,,
14264,3054,43.6,267.90%,267.90,130.16,137.74,100.00,American Gangster,Universal,79,87,pursuit,Thriller,,
12996,3778,49.1,184.30%,258.02,140.13,117.90,140.00,Rush Hour 3,Warner Bros.,20,68,Rescue,Action,,
12750,3475,44.3,514.95%,360.47,217.33,143.14,70.00,Alvin and the Chipmunks,Fox,26,73,Comedy,Animation,,
12541,3619,45.3,207.94%,228.74,115.80,112.94,110.00,Ghost Rider,Sony,28,56,Monster Force,Action,,
12077,3287,39.7,281.81%,253.63,168.27,85.35,90.00,Wild Hogs,Disney,14,72,Transformation,Comedy,,
11935,3940,47,414.28%,621.42,206.45,414.98,150.00,Ratatouille,Disney,97,84,Transformation,Animation,Animated,Animated
11686,3832,44.8,351.82%,457.36,219.96,237.40,130.00,National Treasure: Book of Secrets,Disney,31,72,The Riddle,Thriller,,
11211,2948,33,849.36%,169.87,121.46,48.41,20.00,Superbad,Sony,88,87,Comedy,Comedy,,
10904,3136,34.2,265.52%,159.31,95.67,63.64,60.00,Norbit,Paramount,9,56,Comedy,Comedy,,
10690,2871,30.7,663.64%,219.00,148.77,70.23,33.00,Knocked Up,Universal,91,83,Love,Comedy,,
10645,2051,21.9,539.37%,75.51,61.36,14.15,14.00,Stomp the Yard,Independent,27,83,Maturation,Musical,,
10618,2011,21.4,372.42%,55.86,55.20,0.66,15.00,Tyler Perry's Why Did I get Married,Independent,46,47,Love,Romance,,
10436,1019,10.6,3082.46%,231.18,143.50,87.69,7.50,Juno,Fox,94,89,Maturation,Comedy,Original Screenplay,Original Screenplay
10135,3565,36.1,366.25%,311.31,117.15,194.16,85.00,Ocean's 13,Warner Bros.,70,74,Revenge,Thriller,,
($),,($m),% of budget recovered,($m),($m),($m),($m),,,,,,,,
,,25.78,360.82%,191.47,86.10,105.38,62.93,Average,,51,,,,,
,,13.6,364.74%,145.90,50.57,95.32,40.00,Music and Lyrics,Warner Bros.,63,70,Love,Romance,,
